iter	Passed	Remaining
0	1	261
1	2	214
2	2	190
3	3	180
4	4	177
5	5	173
6	6	171
7	7	169
8	7	167
9	8	166
10	9	163
11	10	162
12	11	160
13	11	158
14	12	157
15	13	157
16	14	157
17	15	158
18	16	158
19	17	155
20	18	154
21	18	153
22	19	152
23	20	153
24	21	152
25	22	151
26	23	149
27	24	148
28	24	146
29	25	145
30	26	147
31	28	147
32	28	146
33	29	145
34	30	143
35	32	149
36	33	148
37	34	147
38	35	147
39	36	145
40	37	144
41	37	142
42	38	141
43	39	140
44	40	139
45	41	138
46	42	137
47	43	136
48	45	139
49	47	141
50	48	140
51	48	138
52	49	137
53	50	136
54	51	135
55	52	133
56	53	133
57	53	131
58	54	130
59	55	130
60	56	128
61	57	127
62	58	126
63	59	125
64	60	125
65	61	125
66	62	124
67	63	124
68	64	122
69	66	122
70	67	122
71	68	121
72	69	120
73	70	119
74	71	118
75	72	118
76	73	117
77	74	116
78	75	115
79	76	114
80	77	113
81	78	112
82	79	111
83	80	110
84	81	109
85	82	108
86	82	107
87	83	106
88	85	106
89	86	105
90	87	104
91	88	103
92	88	102
93	89	101
94	90	100
95	91	99
96	92	98
97	93	96
98	94	95
99	94	94
100	95	93
101	96	92
102	97	91
103	97	90
104	98	89
105	99	88
106	100	87
107	101	86
108	101	85
109	102	84
110	103	82
111	104	82
112	105	81
113	106	80
114	107	79
115	108	78
116	108	77
117	109	76
118	110	75
119	111	74
120	112	73
121	113	72
122	113	71
123	114	70
124	115	69
125	116	68
126	117	67
127	118	66
128	119	65
129	119	64
130	120	63
131	121	62
132	122	61
133	123	60
134	124	59
135	124	58
136	125	57
137	126	56
138	127	55
139	128	54
140	128	53
141	129	53
142	130	52
143	131	51
144	132	50
145	133	49
146	134	48
147	135	47
148	135	46
149	136	45
150	137	44
151	138	43
152	139	42
153	139	41
154	140	40
155	141	39
156	142	39
157	143	38
158	144	37
159	145	36
160	145	35
161	146	34
162	147	33
163	148	32
164	149	31
165	150	30
166	151	29
167	151	28
168	152	28
169	153	27
170	154	26
171	154	25
172	155	24
173	156	23
174	157	22
175	158	21
176	159	20
177	159	19
178	160	18
179	161	17
180	162	17
181	162	16
182	163	15
183	164	14
184	165	13
185	166	12
186	166	11
187	167	10
188	168	9
189	169	8
190	170	8
191	171	7
192	171	6
193	172	5
194	173	4
195	174	3
196	174	2
197	175	1
198	176	0
199	177	0
